epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,1037.37,0.74612,0.37116,0.79164,0.95373,0.95287,0.97968,0.73371,0.78663,0.41577,0.80352,0.000157937,0.000157937,0.000157937
120,1046.1,0.7203,0.36021,0.79188,0.95545,0.9426,0.97491,0.73989,0.77836,0.415,0.80309,0.000153224,0.000153224,0.000153224
121,1054.94,0.7333,0.36882,0.79943,0.95765,0.96157,0.97759,0.7322,0.79443,0.41749,0.80459,0.000148512,0.000148512,0.000148512
122,1063.66,0.72478,0.36586,0.79094,0.95942,0.95328,0.97647,0.7324,0.79804,0.42545,0.8038,0.0001438,0.0001438,0.0001438
123,1072.38,0.72655,0.36155,0.79622,0.94871,0.95307,0.97566,0.74203,0.77157,0.40659,0.80315,0.000139087,0.000139087,0.000139087
124,1081.21,0.71453,0.3579,0.7898,0.94986,0.95693,0.97532,0.73329,0.78725,0.42074,0.80383,0.000134375,0.000134375,0.000134375
125,1089.99,0.7109,0.36217,0.78875,0.94974,0.94927,0.97593,0.73592,0.79012,0.42127,0.80515,0.000129662,0.000129662,0.000129662
126,1098.72,0.7228,0.35931,0.79381,0.95082,0.94263,0.97513,0.73224,0.81211,0.42165,0.80609,0.00012495,0.00012495,0.00012495
127,1107.44,0.68831,0.34773,0.79187,0.94284,0.95425,0.97399,0.72812,0.79006,0.41956,0.80625,0.000120238,0.000120238,0.000120238
128,1116.15,0.67807,0.3471,0.791,0.94867,0.94804,0.9736,0.72677,0.80959,0.41756,0.807,0.000115525,0.000115525,0.000115525
129,1124.88,0.69045,0.34873,0.78896,0.96823,0.95252,0.97837,0.73087,0.80173,0.41395,0.80593,0.000110813,0.000110813,0.000110813
130,1133.55,0.68089,0.34497,0.79113,0.96854,0.95552,0.97691,0.74015,0.78981,0.40876,0.80467,0.0001061,0.0001061,0.0001061
131,1142.28,0.71313,0.35457,0.79734,0.96688,0.96632,0.98024,0.73683,0.79509,0.40389,0.80589,0.000101388,0.000101388,0.000101388
132,1150.99,0.66601,0.33827,0.79247,0.96565,0.96315,0.98175,0.7404,0.78402,0.40747,0.80364,9.66756e-05,9.66756e-05,9.66756e-05
133,1159.71,0.66583,0.34112,0.78802,0.96408,0.97047,0.98308,0.74129,0.78163,0.40952,0.80507,9.19632e-05,9.19632e-05,9.19632e-05
134,1168.53,0.65587,0.33539,0.7929,0.96274,0.95582,0.97961,0.73657,0.77955,0.40951,0.80329,8.72508e-05,8.72508e-05,8.72508e-05
135,1177.26,0.66978,0.34243,0.79136,0.96544,0.95632,0.97986,0.73112,0.79484,0.41912,0.80452,8.25384e-05,8.25384e-05,8.25384e-05
136,1185.97,0.68394,0.34821,0.7918,0.95607,0.96111,0.97923,0.7351,0.78087,0.40808,0.80367,7.7826e-05,7.7826e-05,7.7826e-05
137,1194.73,0.68112,0.33972,0.79313,0.96033,0.9673,0.98103,0.74106,0.78081,0.41143,0.80344,7.31136e-05,7.31136e-05,7.31136e-05
138,1203.47,0.67304,0.34104,0.79107,0.96138,0.96648,0.97897,0.73879,0.78947,0.40797,0.80429,6.84012e-05,6.84012e-05,6.84012e-05
139,1212.2,0.65968,0.3408,0.79078,0.9653,0.96395,0.98014,0.73547,0.79276,0.4078,0.80357,6.36888e-05,6.36888e-05,6.36888e-05
140,1220.91,0.66649,0.33947,0.78175,0.968,0.9597,0.97898,0.73755,0.77989,0.40612,0.80385,5.89764e-05,5.89764e-05,5.89764e-05
141,1230.05,0.61963,0.31736,0.78813,0.95714,0.95231,0.978,0.73953,0.77587,0.40993,0.80322,5.4264e-05,5.4264e-05,5.4264e-05
142,1238.72,0.62197,0.32032,0.79099,0.95578,0.95437,0.9782,0.73578,0.79016,0.40936,0.80342,4.95516e-05,4.95516e-05,4.95516e-05
143,1247.37,0.61155,0.32105,0.78473,0.93728,0.96334,0.97804,0.73938,0.78679,0.41478,0.80349,4.48392e-05,4.48392e-05,4.48392e-05
144,1256.01,0.59731,0.31353,0.79077,0.94452,0.96007,0.97842,0.74365,0.77649,0.41087,0.80343,4.01268e-05,4.01268e-05,4.01268e-05
145,1264.81,0.61846,0.3228,0.78825,0.9342,0.96517,0.976,0.73636,0.78102,0.41174,0.80359,3.54144e-05,3.54144e-05,3.54144e-05
146,1273.47,0.59279,0.31251,0.7881,0.93249,0.96427,0.97977,0.7364,0.77491,0.40862,0.80337,3.0702e-05,3.0702e-05,3.0702e-05
147,1282.09,0.60724,0.31535,0.78679,0.97284,0.92704,0.97948,0.73615,0.77749,0.41216,0.80291,2.59896e-05,2.59896e-05,2.59896e-05
148,1290.73,0.58617,0.30942,0.78856,0.94546,0.94836,0.97933,0.73665,0.7874,0.41349,0.80372,2.12772e-05,2.12772e-05,2.12772e-05
149,1299.4,0.59273,0.31111,0.78946,0.93384,0.96494,0.97954,0.73622,0.78406,0.41371,0.80376,1.65648e-05,1.65648e-05,1.65648e-05
150,1308.02,0.59638,0.31131,0.7872,0.97447,0.92678,0.97827,0.74044,0.77391,0.40986,0.8034,1.18524e-05,1.18524e-05,1.18524e-05
